subject_area,subject,all_statefunded_mainstream_schools,la_maintained_mainstream_schools,academies_and_free_schools,sponsored_academies,converter_academies,free_schools,statefunded_special_schools,all_statefunded_schools,hospital_schools,all_statefunded_schools_et_al,non_maintained_special_schools,independent_schools,independent_special_schools,all_independent_schools,all_special_schools,all_schools
General,Any Subject,100,100,100,99,100,99,34,98,61,98,49,95,50,92,38,97
General,English & Mathematics,92,93,91,85,92,88,13,90,30,89,25,39,28,38,16,85
General,Mathematics & Science,79,79,79,63,83,80,12,78,25,77,28,38,29,37,16,74
General,"English, Mathematics & Science",75,75,74,55,79,75,8,73,17,72,22,32,22,31,11,69
English,Any English,93,93,92,86,94,88,15,91,32,90,27,50,33,49,19,87
English,English,25,25,24,40,20,34,14,25,25,25,18,5,26,6,16,23
English,English Language,68,68,67,46,74,54,2,67,6,66,9,45,7,43,3,64
Mathematics,Mathematics,98,98,98,99,98,99,23,97,56,96,38,50,41,50,27,93
Science,Any Science,80,80,80,63,84,80,17,79,28,78,32,53,32,52,20,76
Science,Core Science,54,56,52,47,53,55,16,53,26,53,29,25,30,25,19,51
Science,Additional Science,42,44,41,33,43,51,1,42,2,41,10,21,7,20,2,39
Science,Additional Applied Science,2,2,2,1,2,0,0,2,1,2,x,0,1,0,0,2
Science,Physics,25,23,26,15,30,23,0,24,0,24,1,23,0,21,0,24
Science,Chemistry,25,23,27,15,30,23,0,24,0,24,1,25,0,23,0,24
Science,Biological Sciences,25,23,27,15,30,23,0,25,1,24,1,25,1,24,1,24
Science,Other Sciences,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1
Design & Technology,Any Design & Technology,33,33,33,25,35,15,5,33,2,32,15,19,7,18,5,31
Design & Technology,D & T: Electronic Products,1,1,2,1,2,0,0,1,x,1,0,1,x,1,0,1
Design & Technology,D & T: Food Technology,8,8,7,6,8,x,1,7,0,7,1,2,1,2,1,7
Design & Technology,D & T: Graphic Products,6,6,6,4,7,1,0,6,0,6,0,2,0,2,0,6
