region_name,la_name,la_number,2005,2006,2007,2008,2009,2010,2011,2012
North East,County Durham,E06000047,40.4,42.3,44.5,48.7,55.8,60,62.5,63.1
North East,Darlington,E06000005,44.7,46,47.7,51.6,54.7,65.7,62.2,64.8
North East,Gateshead,E08000020,45,45.5,47,52.3,54.2,60.3,60.6,61.7
North East,Hartlepool,E06000001,37.5,38.6,39.2,48.5,49.6,56.4,48.8,59
North East,Middlesbrough,E06000002,30.1,31.9,35.8,36.9,44.2,40.9,47.6,50.3
North East,Newcastle upon Tyne,E08000021,33.5,38,39.2,41.9,49.5,52.6,55.9,57.3
North East,North Tyneside,E08000022,47.9,47.3,50.4,53.6,53.1,58.5,61.9,64.8
North East,Northumberland,E06000048,48.9,46.3,50.9,51.9,54,57.7,58.2,55.2
North East,Redcar and Cleveland,E06000003,40.1,38.5,45,48.5,53.2,55,55,55.1
North East,South Tyneside,E08000023,39.5,41.9,42.7,47.9,53.9,57.7,58.2,59.2
North East,Stockton-on-Tees,E06000004,41.2,44.7,48.4,49.3,52.9,57.3,54.3,57.4
North East,Sunderland,E08000024,33.9,38.5,43,45.1,52.6,55.4,62.6,60.1
North West,Blackburn with Darwen,E06000008,38.6,43.7,45.8,43.9,51.9,56.9,57,59.5
North West,Blackpool,E06000009,34.2,34.6,34.5,38.7,47.8,46.2,47.9,46.1
North West,Bolton,E08000001,38,40.1,44.9,46.2,53.2,59.6,60.2,60.7
North West,Bury,E08000002,47.9,52.9,55.5,58.8,62.1,62.8,63,62.3
North West,Cheshire,NA,50.5,51.5,52.9,NA,NA,NA,NA,NA
North West,Cheshire East,E06000049,NA,NA,NA,57.3,62.5,64.4,62,62.4
North West,Cheshire West and Chester,E06000050,NA,NA,NA,50.6,56.4,59.5,59.8,63
North West,Cumbria,E10000006,45.3,45.7,48.4,49.6,55.8,57,56.1,56.5
North West,Halton,E06000006,33.3,41.1,49.3,44.6,50.1,56.3,59,62.5
North West,Knowsley,E08000011,26.1,26.5,29.9,33.5,38,40.8,40.9,43.7
North West,Lancashire,E10000017,45.9,48.2,50.8,53.5,56.7,60.1,59.9,61.2
North West,Liverpool,E08000012,35.5,37.4,41.2,44.3,53,55,56.8,56
North West,Manchester,E08000003,29,32.3,36.9,38.6,45.7,51.8,53.2,53.1
North West,Oldham,E08000004,35.4,40.5,43.1,46.8,51.9,56.1,55.9,57
North West,Rochdale,E08000005,37.1,41.9,43.4,47.8,51.4,53.5,52,56.2
North West,Salford,E08000006,32,37.8,40.3,45.8,49.8,52.9,52,54.8
North West,Sefton,E08000014,44,45.9,51.4,53.2,55.8,59.5,58.5,60.9
North West,St. Helens,E08000013,38,41.4,44.2,47.4,52.8,55.7,55.1,55.5
North West,Stockport,E08000007,50,50.5,52.5,55.3,61.9,64.6,65,65.8
North West,Tameside,E08000008,38.5,41.8,41.8,45.5,49.7,55.6,56.8,59.4
North West,Trafford,E08000009,57,60.8,63.9,63.3,68.5,69.8,72.4,70.5
North West,Warrington,E06000007,48.6,49.9,53.3,59.8,61.3,64.3,62.9,65.7
North West,Wigan,E08000010,41.7,44.7,45.8,48.7,56,57.1,64.2,63.8
North West,Wirral,E08000015,46.3,48.4,50.2,53.8,58.7,64.1,65.4,66.2
Yorkshire and the Humber,Barnsley,E08000016,30.7,31.5,33.1,39.3,40.2,44.4,45.3,50.3
Yorkshire and the Humber,Bradford,E08000032,34,36.3,36.9,41.6,44.4,47.5,52.4,53
Yorkshire and the Humber,Calderdale,E08000033,43.8,45.7,50.3,50.6,54.5,59.4,61.1,65.7
Yorkshire and the Humber,Doncaster,E08000017,34.8,37.4,39.2,42.9,51.4,54.4,54.7,56.6
Yorkshire and the Humber,East Riding of Yorkshire,E06000011,49.8,50.8,52.5,52.3,58.6,55.4,57.4,61
Yorkshire and the Humber,"Kingston upon Hull, City of",E06000010,25.9,30,29.6,36.9,42.3,46.3,47.8,50
Yorkshire and the Humber,Kirklees,E08000034,40.8,42.8,45.6,47.4,52.8,59.3,62,62.6
Yorkshire and the Humber,Leeds,E08000035,40.4,42.1,46.4,45.9,50.6,53.7,55,57.3
Yorkshire and the Humber,North East Lincolnshire,E06000012,35.4,39,39.7,45.7,54.2,54.2,61.1,58.5
Yorkshire and the Humber,North Lincolnshire,E06000013,38.5,40.9,41.6,45.4,51.5,52.4,56.3,56.8
Yorkshire and the Humber,North Yorkshire,E10000023,53.5,54.2,54.7,58.6,61.6,63.2,65.6,65.4
Yorkshire and the Humber,Rotherham,E08000018,37.5,39,40.9,47.1,50.8,56.7,60,63.6
Yorkshire and the Humber,Sheffield,E08000019,37.1,39.9,40.6,44.5,49.2,49.4,55.6,57.3
Yorkshire and the Humber,Wakefield,E08000036,42.9,46.5,51.3,49.3,55.8,57.4,59.3,66.3
Yorkshire and the Humber,York,E06000014,48.8,54.5,53.8,59.2,59.1,62.1,62.7,67.4
East Midlands,Derby,E06000015,42.2,40,49.4,45.6,55.1,56.9,57.2,55.6
East Midlands,Derbyshire,E10000007,45.5,47,48.5,51,55,58.4,57.2,59.1
East Midlands,Leicester,E06000016,33.5,36.5,39.9,44.4,48.9,52.1,51.5,54.8
East Midlands,Leicestershire,E10000018,46.7,48.8,51.9,52.6,55.3,56.9,56.9,59.5
East Midlands,Lincolnshire,E10000019,48.6,50.6,52.6,56.2,59.2,62.2,62.1,61.8
East Midlands,Northamptonshire,E10000021,42.1,42.3,45.4,48.9,51.9,55.3,56.2,58.1
East Midlands,Nottingham,E06000018,28.5,33.1,34.7,41.4,44.2,46.7,49.6,50.3
East Midlands,Nottinghamshire,E10000024,40.1,41.7,43.3,47.2,51.4,57.6,60.6,63.4
East Midlands,Rutland,E06000017,56.1,58,58.6,58.2,61.4,60.8,55.5,67.2
West Midlands,Birmingham,E08000025,40.8,41.7,45.5,47.7,54.9,58.2,60.1,59.8
West Midlands,Coventry,E08000026,37.8,38.9,41.8,47.8,51.7,54.7,58.7,56.4
West Midlands,Dudley,E08000027,43,43.6,46.9,48.9,56.4,58.5,56.1,59.7
West Midlands,"Herefordshire, County of",E06000019,48.2,51.7,52.4,52.2,56,57.5,56.5,56.1
West Midlands,Sandwell,E08000028,29.7,30.2,31.5,37.5,43.6,50,53.8,54.1
West Midlands,Shropshire,E06000051,50.3,53.3,54.4,56.6,57.8,60,58.6,60.4
West Midlands,Solihull,E08000029,50.5,53,54.6,54.4,60.1,61.7,62.7,67.1
West Midlands,Staffordshire,E10000028,42.8,45.7,49.7,50.8,54,56.5,58.7,59.9
West Midlands,Stoke-on-Trent,E06000021,33.3,34.8,36.9,39.4,48.4,48.2,51.8,49.9
West Midlands,Telford and Wrekin,E06000020,39.6,40.8,44.6,47.7,55.9,57.9,61.3,58.6
West Midlands,Walsall,E08000030,34.9,35.5,40.6,44,49.5,56.3,55.9,58.7
West Midlands,Warwickshire,E10000031,48,47.8,51.4,53.8,58.9,60.7,63.1,65.3
West Midlands,Wolverhampton,E08000031,34.7,36.8,39.8,43.4,52.1,57.7,56.7,61
West Midlands,Worcestershire,E10000034,43.1,47.7,47.5,48.8,54.9,60.1,60.7,62.9
East,Bedfordshire3,NA,44.1,47.1,49.3,NA,NA,NA,NA,NA
East,Bedford,E06000055,NA,NA,NA,48.1,50.8,56.2,53.4,59.7
East,Cambridgeshire,E10000003,50.1,49.6,53.6,56.2,58.9,59.3,57.5,61
East,Central Bedfordshire,E06000056,NA,NA,NA,50,54.2,59.4,57.6,57.7
East,Essex,E10000012,45.2,47.2,49,50.2,54.6,58.2,59,60.5
East,Hertfordshire,E10000015,53.7,55.9,58.1,59.3,64.1,66.9,65.8,66.3
East,Luton,E06000032,36.5,40.7,45.3,46.2,52.2,56.7,57.7,58.7
East,Norfolk,E10000020,44.5,45.2,47.9,50,52.3,55.4,55.6,54.4
East,Peterborough,E06000031,39.4,37.6,37.2,40.6,45.5,49.4,49.3,56.2
East,Southend-on-Sea,E06000033,49.9,54.6,55,57.8,61.8,65,61.8,61.9
East,Suffolk,E10000029,45.9,47.3,46.6,48.7,51.8,54.7,50.5,54.6
East,Thurrock,E06000034,38.5,39.8,42.6,46.6,56.8,60.1,59.2,59.5
Inner London,Camden,E09000007,45.7,45.6,45.8,51.1,53.1,60.2,59,60.4
Inner London,City of London,E09000001,NA,NA,NA,NA,NA,NA,NA,NA
Inner London,Hackney,E09000012,36.7,41.9,42.6,52.2,55.3,57,60.2,61.2
Inner London,Hammersmith and Fulham,E09000013,49,58,55.6,64.1,68.2,71.3,65.6,66.5
Inner London,Haringey,E09000014,34.3,37.4,42.1,45.7,48,57.3,58.6,63.5
Inner London,Islington,E09000019,32.8,37.4,38.9,45,50,49.4,53.7,63.5
Inner London,Kensington and Chelsea,E09000020,54.3,56.6,59.9,66.1,71.3,73.1,79.6,80.2
Inner London,Lambeth,E09000022,41.7,41.4,47.1,53.5,53,61.1,62.8,65.9
Inner London,Lewisham,E09000023,40.8,40.4,45.9,47,48,56.1,56,58
Inner London,Newham,E09000025,41.1,44,45.3,47.1,52.1,58.5,61.9,58.4
Inner London,Southwark,E09000028,34.4,38.4,42.7,46,56.1,58,58.8,65.2
Inner London,Tower Hamlets,E09000030,34,36.5,41.2,45.9,51.8,61.5,61.9,64.7
Inner London,Wandsworth,E09000032,41.8,46.9,50.1,52.1,58.1,61.7,58.3,61.3
Inner London,Westminster,E09000033,40.6,46,49.7,52.8,62.5,63.1,70,69.6
Outer London,Barking and Dagenham,E09000002,37.7,39.7,39.2,45.1,51.6,57.2,58.6,60.2
Outer London,Barnet,E09000003,55.9,59.7,61.1,61.4,67.3,68.8,69.2,71.5
Outer London,Bexley,E09000004,50.3,49.7,51.4,57.3,59.8,63.3,65,66
Outer London,Brent,E09000005,48.9,51,55.8,57.1,60.1,62.1,58.7,62.9
Outer London,Bromley,E09000006,54.2,55.3,59.5,62.6,65.1,67.2,68.9,73.9
Outer London,Croydon,E09000008,42.7,44.4,47.6,51.9,54.4,61,62.2,64.4
Outer London,Ealing,E09000009,48.8,49.1,52.1,54,58.7,57.3,57.7,60.9
Outer London,Enfield,E09000010,43,47.5,48,50.4,55.3,59.5,55.5,63.2
Outer London,Greenwich,E09000011,31.4,34,40.4,43.4,50.1,54.5,63.1,65.4
