region_name,la_name,la_number,no_end_of_key_stage_pupils,tot_perc_entered,"tot_perc_achieved
",perc_entered_english,perc_entered_mathematics,perc_entered_sciences,perc_entered_history_or_geography,perc_entered_languages,perc_achieved_english,perc_achieved_mathematics,perc_achieved_sciences,perc_achieved_history_or_geography,perc_achieved_languages
North East,County Durham,E06000047,"5,469",38.8,21.1,96.8,98.0,56.1,59.5,47.6,70.7,71.0,77.6,65.5,60.8
North East,Darlington,E06000005,"1,158",29.4,17.1,97.1,98.0,53.1,53.8,43.5,71.2,72.0,77.4,67.6,62.9
North East,Gateshead,E08000020,"2,175",35.1,24.0,97.0,97.8,55.0,61.0,40.6,69.0,70.2,80.5,66.8,73.8
North East,Hartlepool,E06000001,"1,167",36.5,18.3,97.0,97.4,65.3,60.2,39.6,64.5,71.9,63.4,71.9,53.2
North East,Middlesbrough,E06000002,"1,510",16.4,10.5,95.0,96.5,50.7,38.5,23.8,58.4,61.1,67.2,68.5,63.8
North East,Newcastle upon Tyne,E08000021,"2,578",30.2,21.6,95.7,96.4,49.0,48.1,42.7,62.8,69.5,77.8,70.9,69.7
North East,North Tyneside,E08000022,"2,151",29.6,21.6,95.6,97.7,56.1,67.8,39.4,71.5,74.0,84.2,67.7,70.2
North East,Northumberland,E06000048,"3,588",33.9,20.6,95.9,96.5,67.3,57.8,44.6,60.8,67.6,70.4,64.4,61.1
North East,Redcar and Cleveland,E06000003,"1,846",23.9,14.9,96.0,97.1,61.4,54.5,30.8,62.8,63.9,69.1,62.3,65.2
North East,South Tyneside,E08000023,"1,736",32.1,16.6,97.5,97.9,54.8,54.3,39.9,65.4,70.7,81.3,69.1,53.3
North East,Stockton-on-Tees,E06000004,"2,182",30.1,19.6,95.1,96.2,57.1,66.2,44.5,63.4,69.2,73.2,60.8,64.0
North East,Sunderland,E08000024,"3,234",40.2,21.1,95.9,98.2,56.0,62.1,44.9,69.1,68.5,74.0,56.0,62.0
North West,Blackburn with Darwen,E06000008,"1,781",29.5,17.7,96.4,97.0,69.8,55.2,35.4,67.3,73.0,71.7,65.6,65.9
North West,Blackpool,E06000009,"1,653",22.6,12.6,95.0,97.2,64.4,48.3,33.6,56.3,58.1,55.3,56.4,62.0
North West,Bolton,E08000001,"3,522",30.8,18.3,97.8,98.4,58.4,56.7,45.4,67.1,72.9,79.3,63.7,60.3
North West,Bury,E08000002,"2,199",38.0,25.6,97.9,98.5,67.6,66.2,58.1,69.3,74.7,77.9,66.3,68.6
North West,Cheshire East,E06000049,"4,108",37.2,24.9,97.7,99.2,70.2,66.1,48.3,68.5,74.1,75.0,72.2,71.5
North West,Cheshire West and Chester,E06000050,"3,835",32.1,22.4,97.1,97.9,64.8,56.4,46.9,71.3,72.0,72.9,70.6,74.3
North West,Cumbria,E10000006,"5,736",30.7,20.8,96.6,97.2,68.1,59.6,37.3,65.0,67.7,72.7,68.9,70.9
North West,Halton,E06000006,"1,428",45.0,23.6,96.1,98.0,52.5,68.0,55.1,71.7,70.0,72.8,55.4,66.5
North West,Knowsley,E08000011,"1,391",19.3,10.4,94.7,94.5,34.7,43.6,36.8,54.3,55.0,70.5,47.3,54.5
North West,Lancashire,E10000017,"13,231",38.3,24.5,96.5,97.4,66.9,60.7,49.6,68.1,72.8,74.5,69.5,67.3
North West,Liverpool,E08000012,"5,102",34.8,21.2,95.6,96.9,54.7,51.9,49.0,65.2,65.2,70.4,64.1,71.6
North West,Manchester,E08000003,"4,510",31.9,19.2,95.3,96.4,52.1,51.1,44.3,61.4,63.3,71.1,63.7,69.8
North West,Oldham,E08000004,"3,101",24.2,14.4,96.9,97.8,59.9,50.3,32.8,63.6,69.7,72.1,61.8,63.9
North West,Rochdale,E08000005,"2,435",34.7,18.0,96.8,97.5,60.9,55.6,51.4,64.5,68.1,77.6,62.3,61.6
North West,Salford,E08000006,"2,238",30.9,17.1,95.6,97.1,51.4,52.1,44.1,65.5,65.4,67.0,58.3,67.3
North West,Sefton,E08000014,"3,481",37.3,23.9,98.1,98.2,59.7,62.0,50.5,69.3,72.3,76.5,67.8,75.6
North West,St. Helens,E08000013,"1,942",28.2,17.9,97.0,98.0,52.2,53.8,43.5,62.1,68.5,80.7,66.6,64.1
North West,Stockport,E08000007,"2,984",44.3,28.9,97.5,97.7,70.1,65.6,53.6,71.8,77.3,78.4,71.2,70.9
North West,Tameside,E08000008,"2,708",35.6,19.6,96.7,97.5,64.1,57.0,48.2,68.4,69.7,67.9,62.0,57.9
North West,Trafford,E08000009,"2,913",45.3,36.4,98.0,98.9,74.7,65.8,59.3,75.5,81.0,86.8,78.1,80.6
North West,Warrington,E06000007,"2,455",46.0,27.6,98.0,98.4,77.8,65.2,52.9,74.4,75.1,67.5,71.0,69.5
North West,Wigan,E08000010,"3,763",39.8,24.4,98.1,98.4,72.2,58.4,53.4,72.8,72.4,72.4,67.2,69.6
North West,Wirral,E08000015,"3,729",42.0,31.8,96.9,98.1,64.6,62.6,56.0,72.4,75.7,84.3,71.3,78.7
Yorkshire and the Humber,Barnsley,E08000016,"2,556",19.8,11.3,98.1,98.5,59.8,54.8,26.6,57.5,60.3,56.2,54.7,67.2
Yorkshire and the Humber,Bradford,E08000032,"5,620",27.5,17.2,97.4,97.4,54.2,50.0,42.5,61.9,63.9,71.2,61.5,64.8
Yorkshire and the Humber,Calderdale,E08000033,"2,606",35.9,24.6,97.9,98.9,65.4,60.4,43.6,72.3,75.0,77.1,70.3,74.0
Yorkshire and the Humber,Doncaster,E08000017,"3,437",24.3,14.4,96.2,97.5,58.3,50.7,32.3,65.2,66.5,67.4,61.7,64.0
Yorkshire and the Humber,East Riding of Yorkshire,E06000011,"3,881",35.6,22.3,98.2,98.7,70.6,64.2,44.9,69.1,72.4,70.7,68.4,67.4
Yorkshire and the Humber,"Kingston upon Hull, City of",E06000010,"2,458",25.5,13.1,96.3,97.9,42.8,52.0,37.5,58.5,60.9,67.8,45.4,59.4
Yorkshire and the Humber,Kirklees,E08000034,"4,637",34.9,21.9,98.2,98.6,70.7,59.8,46.2,70.6,72.5,69.2,61.9,69.1
Yorkshire and the Humber,Leeds,E08000035,"7,823",30.5,19.1,97.3,97.8,62.6,53.3,41.6,63.6,68.3,69.7,67.8,67.5
Yorkshire and the Humber,North East Lincolnshire,E06000012,"1,845",26.9,16.9,96.3,97.6,46.5,50.8,35.1,66.0,68.5,80.3,59.4,61.9
Yorkshire and the Humber,North Lincolnshire,E06000013,"1,945",33.9,19.4,98.4,98.5,55.0,55.9,45.8,61.7,72.5,76.1,67.9,57.8
Yorkshire and the Humber,North Yorkshire,E10000023,"6,780",40.2,29.0,97.2,98.3,75.9,65.0,50.6,71.0,76.7,74.4,72.9,76.6
Yorkshire and the Humber,Rotherham,E08000018,"3,496",29.4,19.1,96.2,97.5,62.4,50.3,40.2,71.0,71.1,73.1,73.9,65.4
Yorkshire and the Humber,Sheffield,E08000019,"5,529",31.6,19.0,95.8,96.9,64.9,51.8,41.8,65.7,67.6,64.3,67.9,64.6
Yorkshire and the Humber,Wakefield,E08000036,"3,922",24.9,17.0,97.6,98.3,52.9,50.9,36.5,73.9,73.4,79.3,66.4,70.8
Yorkshire and the Humber,York,E06000014,"1,726",40.6,26.4,98.4,98.6,75.8,62.7,59.3,76.8,75.7,75.0,73.5,60.2
East Midlands,Derby,E06000015,"2,942",30.1,21.1,96.4,97.1,59.7,54.4,44.3,63.1,67.9,73.2,66.1,68.9
East Midlands,Derbyshire,E10000007,"8,384",27.8,18.2,97.4,98.1,65.4,57.8,39.4,65.0,73.3,71.2,67.5,69.1
East Midlands,Leicester,E06000016,"3,478",34.9,21.0,94.6,96.4,65.0,53.5,49.7,63.1,65.0,71.2,65.1,67.5
East Midlands,Leicestershire,E10000018,"7,275",25.5,16.5,97.6,97.7,69.7,46.4,44.1,68.4,69.7,74.0,66.0,64.3
East Midlands,Lincolnshire,E10000019,"8,274",44.9,27.2,97.0,97.8,71.5,63.9,56.0,68.0,73.6,67.8,70.2,66.4
East Midlands,Northamptonshire,E10000021,"7,972",36.7,20.9,96.4,97.4,68.5,64.3,48.8,67.0,69.2,65.6,60.5,64.1
East Midlands,Nottingham,E06000018,"2,719",26.9,14.9,93.6,95.5,46.6,45.8,42.2,59.2,60.5,72.2,55.9,63.0
East Midlands,Nottinghamshire,E10000024,"8,669",36.0,22.7,97.3,98.2,58.9,62.3,46.4,69.9,72.5,76.2,65.4,66.8
East Midlands,Rutland,E06000017,473,49.9,29.8,99.6,99.6,83.7,77.6,54.5,71.0,83.7,80.1,68.7,69.0
West Midlands,Birmingham,E08000025,"12,461",33.4,21.7,96.0,97.5,58.2,61.2,47.3,67.6,70.6,75.1,66.7,71.2
West Midlands,Coventry,E08000026,"3,588",32.5,18.1,96.2,97.7,65.9,54.3,46.3,64.7,68.1,63.3,60.4,62.4
West Midlands,Dudley,E08000027,"3,929",27.6,16.6,96.8,97.6,68.3,52.9,43.4,67.8,69.2,71.3,66.2,63.6
West Midlands,"Herefordshire, County of",E06000019,"1,825",38.5,22.7,95.8,97.1,67.5,62.5,51.0,63.3,68.4,75.2,65.5,63.8
West Midlands,Sandwell,E08000028,"3,668",17.2,9.1,97.2,98.1,55.8,44.9,28.1,63.4,63.3,59.5,56.9,55.9
West Midlands,Shropshire,E06000051,"3,258",37.5,23.4,97.7,97.9,73.3,68.7,45.7,67.9,71.5,73.0,67.4,68.0
West Midlands,Solihull,E08000029,"3,030",39.1,25.6,98.3,98.8,69.6,66.5,50.4,75.7,75.2,77.5,69.5,71.2
West Midlands,Staffordshire,E10000028,"9,704",34.0,19.6,96.3,97.6,68.9,62.2,43.7,68.2,70.7,69.9,64.2,61.6
West Midlands,Stoke-on-Trent,E06000021,"2,638",29.3,15.2,96.4,97.0,49.8,48.3,40.5,59.9,59.9,64.7,58.8,58.2
West Midlands,Telford and Wrekin,E06000020,"2,098",34.3,22.1,96.6,97.4,62.2,59.4,43.6,66.5,67.4,72.0,66.1,69.1
West Midlands,Walsall,E08000030,"3,460",26.9,16.9,96.6,97.3,55.1,51.8,38.3,65.3,69.0,76.0,61.9,65.9
West Midlands,Warwickshire,E10000031,"6,062",30.3,21.8,97.2,97.7,68.0,62.0,39.9,73.4,73.1,77.1,69.9,77.3
