region_name,la_name,la_number,eligible_2008,progress_2008,eligible_2009,progress_2009,eligible_2010,progress_2010,eligible_2011,progress_2011,eligible_2012,progress_2012
North East,County Durham,E06000047,5507,65.2,5309,71.4,5295,75.1,5207,73.8,5258,74.8
North East,Darlington,E06000005,1136,60.6,1090,68,1072,76,1081,68.6,1111,76.1
North East,Gateshead,E08000020,2089,65.1,2032,67.7,2117,74,2049,69.3,2101,68.5
North East,Hartlepool,E06000001,1214,57.9,1213,56.1,1260,62.3,1127,50.8,1137,63.6
North East,Middlesbrough,E06000002,1671,51.3,1613,58.2,1531,56.8,1421,55.2,1444,61.6
North East,Newcastle upon Tyne,E08000021,2583,55.7,2391,64.9,2371,65.5,2240,70,2408,67.3
North East,North Tyneside,E08000022,2225,69.4,2072,69.5,2101,73.2,2074,66.1,2071,73.8
North East,Northumberland,E06000048,3673,66.8,3482,71.3,3508,69.9,3405,67.9,3481,63.2
North East,Redcar and Cleveland,E06000003,1863,62.1,1905,62.7,1813,63.5,1712,59.7,1795,63.2
North East,South Tyneside,E08000023,1825,62.5,1705,72,1687,71.4,1683,68.9,1650,68.6
North East,Stockton-on-Tees,E06000004,2338,61.5,2234,62.5,2151,70.1,2088,63.1,2103,63.5
North East,Sunderland,E08000024,3385,58.9,3341,62.9,3151,69.3,3120,71.2,3123,70.5
North West,Blackburn with Darwen,E06000008,1722,65.2,1696,69.4,1727,74.2,1665,65.8,1720,70.7
North West,Blackpool,E06000009,1570,62.5,1539,71.4,1471,69.1,1406,63.7,1575,58.5
North West,Bolton,E08000001,3467,57.1,3410,64.7,3262,72.4,3266,67.7,3375,68.6
North West,Bury,E08000002,2152,77.2,2157,77.5,2107,81.2,2127,75.7,2113,67.4
North West,Cheshire East,E06000049,3899,68.5,3843,73.9,3721,75,3804,69,3969,69.8
North West,Cheshire West and Chester,E06000050,3798,64.3,3842,72.2,3678,72.2,3501,70.4,3660,75.1
North West,Cumbria,E10000006,5952,62.1,5976,67,5524,68.4,5574,65.1,5574,64.2
North West,Halton,E06000006,1481,56.2,1486,65.2,1377,70.2,1327,71.2,1387,74
North West,Knowsley,E08000011,1594,43.9,1580,46,1489,58.9,1395,50.2,1335,55.4
North West,Lancashire,E10000017,13183,68.5,12994,72.3,12313,76.1,12459,70.5,12749,70.7
North West,Liverpool,E08000012,5110,61.8,4892,70.8,4860,71.2,4738,66.7,4848,68.9
North West,Manchester,E08000003,4242,55.9,4125,64.1,3986,68.1,3952,68.9,4103,69.6
North West,Oldham,E08000004,2921,62.8,2901,68.5,2824,70.1,2888,61.7,2972,64.2
