region_name,la_name,la_number,eligible_2008,progress_2008,eligible_2009,progress_2009,eligible_2010,progress_2010,eligible_2011,progress_2011,eligible_2012,progress_2012
North East,County Durham,E06000047,5521,52.1,5303,56.1,5283,60.4,5207,67.2,5265,70.1
North East,Darlington,E06000005,1136,54.4,1096,64,1079,67.1,1072,74.1,1113,71.9
North East,Gateshead,E08000020,2087,53.4,2037,59,2118,62.5,2061,68.3,2106,67.7
North East,Hartlepool,E06000001,1215,50.2,1214,54.8,1262,58,1127,63.7,1139,63.9
North East,Middlesbrough,E06000002,1671,39.9,1617,50.2,1532,43.3,1425,53.1,1446,58
North East,Newcastle upon Tyne,E08000021,2601,46.3,2405,57.2,2391,57.1,2291,64.9,2420,68.8
North East,North Tyneside,E08000022,2225,56.4,2065,60,2081,62.3,2059,73.2,2066,74.4
North East,Northumberland,E06000048,3684,59.7,3485,62.2,3503,64,3405,68.8,3482,68.4
North East,Redcar and Cleveland,E06000003,1856,53.4,1906,56.5,1814,55.8,1706,63.7,1799,60.3
North East,South Tyneside,E08000023,1820,48.7,1699,54,1686,58.4,1688,66.6,1650,70.5
North East,Stockton-on-Tees,E06000004,2337,53.2,2234,57,2156,59.6,2100,57.7,2103,63.9
North East,Sunderland,E08000024,3381,46.9,3343,55.9,3172,61.3,3123,69.4,3124,67.1
North West,Blackburn with Darwen,E06000008,1728,54.7,1698,60.2,1732,66.5,1687,74,1719,73.1
North West,Blackpool,E06000009,1574,40.5,1540,48.1,1481,46.6,1400,50.8,1581,53.5
North West,Bolton,E08000001,3479,52.1,3418,58.3,3286,64.5,3281,69.7,3385,72.5
North West,Bury,E08000002,2156,65.2,2157,69,2115,66.1,2126,68.9,2116,73.1
North West,Cheshire East,E06000049,3906,65.3,3855,66.5,3716,69.1,3816,69.1,3983,71.6
North West,Cheshire West and Chester,E06000050,3788,59.8,3836,64.9,3683,64.6,3488,69.3,3668,72.8
North West,Cumbria,E10000006,5950,55.9,5975,62,5528,60.3,5562,62.8,5602,64.9
North West,Halton,E06000006,1483,55.1,1485,61.5,1394,63.1,1327,69.6,1388,68.1
North West,Knowsley,E08000011,1587,36.5,1583,44,1496,45,1399,50.8,1335,53.4
North West,Lancashire,E10000017,13202,59.6,13018,62.9,12328,64.9,12486,69.3,12786,73
North West,Liverpool,E08000012,5123,47.2,4908,57.8,4884,59.5,4740,65.4,4867,64
North West,Manchester,E08000003,4313,45.4,4176,54.4,4056,58.2,3987,64.1,4159,65.3
North West,Oldham,E08000004,2935,52.8,2904,58.4,2817,63.6,2901,65.6,2968,67.6
North West,Rochdale,E08000005,2480,60.8,2451,63.3,2320,64.4,2312,67.3,2324,70.4
North West,Salford,E08000006,2246,51.4,2079,56,2056,58.4,1946,60.2,2107,64.2
North West,Sefton,E08000014,3422,55.8,3237,59.8,3249,62.9,3260,65.9,3355,69
North West,St. Helens,E08000013,2098,50,1965,56.1,1913,57.4,1873,65.1,1895,67
North West,Stockport,E08000007,2957,62.1,2937,67.9,2880,70.1,2747,74.8,2899,76.9
North West,Tameside,E08000008,2887,51.4,2833,56,2751,58.4,2756,66.2,2636,68
North West,Trafford,E08000009,2785,68.5,2772,73.5,2701,75.7,2814,80.1,2804,81
North West,Warrington,E06000007,2494,63.7,2455,65.3,2396,69.1,2337,73,2372,72
North West,Wigan,E08000010,3816,53.3,3753,60,3662,61.8,3570,71.4,3666,72
North West,Wirral,E08000015,3862,59.7,3873,64.7,3723,68.8,3650,75.3,3607,75.3
Yorkshire and the Humber,Barnsley,E08000016,2588,39.4,2521,42.8,2502,44,2508,50.7,2484,54.2
Yorkshire and the Humber,Bradford,E08000032,5632,49.5,5585,53.7,5329,56.4,5309,62.5,5408,65
Yorkshire and the Humber,Calderdale,E08000033,2573,55.1,2567,58.9,2536,61.5,2561,67.4,2549,71.7
Yorkshire and the Humber,Doncaster,E08000017,3551,44.6,3481,53,3402,55.2,3291,62.5,3332,63.4
Yorkshire and the Humber,East Riding of Yorkshire,E06000011,3952,58.5,3901,63.7,3841,62.9,3695,66.4,3813,70.7
Yorkshire and the Humber,"Kingston upon Hull, City of",E06000010,2780,37.7,2680,43.6,2424,47.7,2431,54.9,2332,59.5
Yorkshire and the Humber,Kirklees,E08000034,4516,54.7,4442,61.4,4402,63.3,4478,70.8,4494,71.8
