school_type,no_of_end_ks4_boys,no_of_end_ks4_girls,perc_gcse_only_boys,perc_gcse_only_girls,perc_gcse_only_all,perc_ia_gcse_boys,perc_ia_gcse_girls,perc_ia_gcse_all,perc_btec_boys,perc_btec_girls,perc_btec_all,perc_boys,perc_girls,perc_all,perc_gcse_only_em_boys,perc_gcse_only_em_girls,perc_gcse_only_em_all,perc_ia_gcse_em_boys,perc_ia_gcse_em_girls,perc_ia_gcse_em_all,perc_btec_em_boys,perc_btec_em_girls,perc_btec_em_all,perc_em_boys,perc_em_girls,perc_em_all
State-funded mainstream schools > Local authority maintained mainstream schools,149015,145753,49.9,60.2,55,50.8,61.4,56,70.4,78.5,74.4,79.4,85.5,82.4,46.3,56.8,51.5,47.1,57.6,52.3,53.2,62.6,57.8,54.8,63.8,59.2
State-funded mainstream schools > Academies and free schools,134292,131554,53.8,64.8,59.2,55,66.1,60.5,75.8,83.4,79.5,84,89.2,86.6,50.5,61.7,56,51.3,62.7,57,58.1,68.3,63.1,59.6,69.2,64.3
State-funded mainstream schools > Academies and free schools > Sponsored academies,31219,28864,31.7,41.9,36.6,33.2,43.8,38.3,71.5,79,75.1,82.6,87.7,85,30.3,40.3,35.1,31.7,41.9,36.6,45.3,54.1,49.5,47.3,55.4,51.2
State-funded mainstream schools > Academies and free schools > Converter academies,102552,102473,60.5,71.2,65.9,61.6,72.4,67,77.1,84.7,80.9,84.4,89.7,87,56.6,67.7,62.2,57.4,68.6,63,62,72.3,67.2,63.4,73.1,68.2
"State-funded mainstream schools > Academies and free schools > Free schools, university technical colleges (UTCs) and studio schools",521,217,51.8,53,52.2,52.2,53,52.4,66.4,74.2,68.7,82.5,85.7,83.5,46.3,46.1,46.2,46.3,46.1,46.2,48.6,52.1,49.6,54.7,54.4,54.6
All state-funded mainstream schools,283533,277596,51.8,62.4,57,52.8,63.7,58.2,73,80.8,76.9,81.6,87.3,84.4,48.3,59.1,53.7,49.1,60,54.5,55.5,65.3,60.4,57.1,66.4,61.7
All state-funded special schools,7475,2730,0.3,0.4,0.3,0.4,0.4,0.4,1.2,0.7,1.1,2.2,1.1,1.9,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4
All state-funded schools,291008,280326,50.4,61.8,56,51.4,63,57.1,71.1,80.1,75.5,79.6,86.5,82.9,47.1,58.6,52.7,47.9,59.5,53.6,54.1,64.7,59.3,55.6,65.7,60.6
Hospital schools and alternative provision including academy and free school alternative provision and pupil referral units,6446,3453,0.7,1.9,1.1,0.7,2.1,1.2,2.8,4.9,3.5,4.6,7.5,5.6,0.5,1.6,0.9,0.5,1.7,0.9,0.9,2.2,1.3,1.1,2.8,1.7
"All state-funded schools, hospital schools and alternative provision including academy and free school alternative provision and pupil referral units",297454,283779,49.4,61.1,55.1,50.4,62.3,56.2,69.6,79.1,74.3,77.9,85.5,81.6,46.1,57.9,51.8,46.9,58.8,52.7,52.9,63.9,58.3,54.5,64.9,59.6
Independent schools > Non-maintained special schools,382,132,4.7,5.3,4.9,4.7,5.3,4.9,6.3,6.8,6.4,7.6,10.6,8.4,3.7,2.3,3.3,3.7,2.3,3.3,3.7,3,3.5,3.7,3,3.5
Independent schools > Independent schools,24343,24257,50.7,68.4,59.5,83.2,87.6,85.4,83.5,87.8,85.6,85.3,89.2,87.2,38.1,55,46.5,50.5,63.7,57.1,50.5,63.7,57.1,50.8,63.9,57.3
Independent schools > Independent special schools,1792,537,3.8,3.2,3.6,4.5,3.7,4.3,5.1,3.9,4.9,5.9,5.4,5.8,2.3,2,2.2,2.8,2.2,2.7,3,2.2,2.8,3.1,2.6,3
All independent schools,26517,24926,46.8,66.6,56.4,76.7,85.3,80.9,77.1,85.6,81.2,78.8,87,82.8,35.1,53.6,44.1,46.6,62,54.1,46.6,62.1,54.1,46.9,62.3,54.3
All special schools,9649,3399,1.1,1,1.1,1.3,1.1,1.3,2.2,1.5,2,3.1,2.1,2.9,0.7,0.6,0.7,0.9,0.6,0.8,1,0.7,0.9,1.1,0.8,1
All schools,323971,308705,49.2,61.5,55.2,52.5,64.2,58.2,70.3,79.7,74.9,78,85.7,81.8,45.2,57.5,51.2,46.8,59,52.8,52.4,63.8,58,53.8,64.8,59.2
