subject_area,,perc_entered_boys,perc_entered_girls,perc_achieved_as_c_boys,perc_achieved_as_c_girls,perc_achieved_as_g_boys,perc_achieved_as_g_girls
General,Any Subject (number of pupils),314800,304900,257300,268200,311900,303100
General,Any Subject,97,99,79,87,96,98
General,English & Mathematics,83,88,49,60,82,86
General,Mathematics & Science,72,76,49,55,71,75
General,"English, Mathematics & Science",67,72,41,51,66,71
English,Any English,85,89,54,70,84,89
English,English,27,19,9,9,26,19
English,English Language,58,70,45,61,58,70
Mathematics,Mathematics,92,94,66,69,90,92
Science,Any Science,74,78,53,59,73,77
Science,Core Science,49,53,28,34,48,52
Science,Additional Science,37,42,23,29,37,41
Science,Additional Applied Science,2,2,0,1,2,2
Science,Physics,24,24,21,22,24,24
Science,Chemistry,24,24,21,22,24,24
Science,Biological Sciences,24,24,22,23,24,24
Science,Other Sciences6,1,1,1,0,1,1
Design & Technology,Any Design & Technology,34,27,19,20,34,27
Design & Technology,D & T: Electronic Products,2,0,2,0,2,0
Design & Technology,D & T: Food Technology,5,9,2,6,5,9
Design & Technology,D & T: Graphic Products,7,5,3,3,7,4
Design & Technology,D & T: Resistant Materials,14,2,8,2,14,2
Design & Technology,D & T: Systems & Control,1,0,1,0,1,0
Design & Technology,D & T: Textiles Technology,0,9,0,7,0,9
Design & Technology,Other Design and Technology7,7,3,4,2,7,3
Design & Technology,Applied Engineering,1,0,0,0,1,0
Design & Technology,Information Technology8,10,8,7,6,10,8
Design & Technology,Business Studies,12,8,8,6,12,8
Design & Technology,Applied Business,1,1,1,0,1,1
Design & Technology,Home Economics,1,7,1,4,1,7
Geography and History,Geography,33,30,22,22,33,30
Geography and History,History,36,39,23,28,35,38
Geography and History,Humanities,2,2,1,1,2,2
Geography and History,Economics,1,0,1,0,1,0
Geography and History,Social Studies,5,9,3,6,5,9
Modern Languages,Any Modern Language,41,54,27,41,41,54
Modern Languages,Arabic,0,0,0,0,0,0
Modern Languages,Chinese,0,0,0,0,0,0
Modern Languages,French,21,30,14,22,21,30
Modern Languages,German,9,10,6,8,9,10
Modern Languages,Italian,1,1,0,1,1,1
Modern Languages,Polish,0,0,0,0,0,0
Modern Languages,Spanish,11,15,7,12,11,15
Modern Languages,Urdu,0,1,0,1,0,1
Modern Languages,Other Modern Languages,1,2,1,1,1,2
Classical Studies,Any Classical Study,2,2,2,2,2,2
Classical Studies,Classical Civilisation,1,1,1,0,1,1
Classical Studies,Classical Greek,0,0,0,0,0,0
Classical Studies,Latin,1,2,1,1,1,2
Classical Studies,Other Classical Studies,0,0,0,0,0,0
Other,Applied Art and Design,0,0,0,0,0,0
Other,Applied Physical Education,NA,NA,NA,NA,NA,NA
Other,Art and Design,16,34,10,28,16,34
Other,Communication Studies,1,2,1,1,1,2
Other,Construction,0,0,0,0,0,0
Other,Drama,8,14,6,11,8,14
Other,English Literature,61,73,43,61,60,72
Other,English Studies,0,0,0,0,0,0
Other,General Studies,1,1,0,0,1,1
Other,Health and Social Care,0,2,0,1,0,2
Other,Hospitality and Catering,0,0,0,0,0,0
Other,Leisure and Tourism,0,0,0,0,0,0
Other,Manufacturing,0,0,0,0,0,0
Other,Media/Film/TV,7,8,4,6,7,8
Other,Media: Communication and Production,NA,NA,NA,NA,NA,NA
Other,Music,6,7,5,5,6,7
Other,Performing Arts,0,1,0,0,0,1
Other,Physical Education,19,13,13,9,19,13
Other,Religious Studies,32,40,22,32,32,40
Other,Statistics,7,7,5,6,7,7
Other,Vocational Studies,5,6,3,4,5,5
